Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2010/11,The University of Hong Kong,Undergraduate,FT employment,Engineers,167
2010/11,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),37
2010/11,The University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,29
2010/11,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,10
2010/11,The University of Hong Kong,Undergraduate,FT employment,Managers,41
2010/11,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,293
2010/11,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,53
2010/11,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,9
2010/11,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,18
2010/11,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,14
2010/11,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,16
2010/11,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,27
2010/11,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,71
2010/11,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,224
2010/11,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,334
2010/11,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,517
2010/11,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,32
2010/11,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,109
2010/11,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,8
2011/12,City University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2011/12,City University of Hong Kong,Research postgraduate,FT employment,Engineers,3
2011/12,City University of Hong Kong,Research postgraduate,FT employment,Managers,2
2011/12,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2011/12,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,25
2011/12,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,1
2011/12,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,27
2011/12,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,2
2011/12,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,2
2011/12,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,113
2011/12,City University of Hong Kong,Sub-degree,FT employment,Artists,3
2011/12,City University of Hong Kong,Sub-degree,FT employment,Authors | Journalists and Related Writers,2
2011/12,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,6
2011/12,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,8
2011/12,City University of Hong Kong,Sub-degree,FT employment,Economists | Statisticians and Mathematicians,1
2011/12,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,23
2011/12,City University of Hong Kong,Sub-degree,FT employment,Engineers,17
2011/12,City University of Hong Kong,Sub-degree,FT employment,Medical and Health Workers,1
2011/12,City University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,9
2011/12,City University of Hong Kong,Sub-degree,FT employment,Other Service Workers,2
2011/12,City University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,4
2011/12,City University of Hong Kong,Sub-degree,FT employment,Teaching Profession,3
2011/12,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,168
2011/12,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,5
2011/12,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,6
2011/12,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,2
2011/12,City University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2011/12,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,31
2011/12,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2011/12,City University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2011/12,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,165
2011/12,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,2
2011/12,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2011/12,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,51
2011/12,City University of Hong Kong,Undergraduate,FT employment,Artists,53
2011/12,City University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,68
2011/12,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,714
2011/12,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,88
2011/12,City University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,22
2011/12,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,44
2011/12,City University of Hong Kong,Undergraduate,FT employment,Engineers,183
2011/12,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),10
2011/12,City University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,31
2011/12,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,5
2011/12,City University of Hong Kong,Undergraduate,FT employment,Managers,31
2011/12,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,9
2011/12,City University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,1
2011/12,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,88
2011/12,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,11
2011/12,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,15
2011/12,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,16
2011/12,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,13
2011/12,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,53
2011/12,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,202
2011/12,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,120
2011/12,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,2
2011/12,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,179
2011/12,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,73
2011/12,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,99
2011/12,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,26
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Authors | Journalists and Related Writers,2
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,2
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,2
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,5
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Scientists,1
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Protective Service Workers,1
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Religious Workers,1
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Sales/Service Workers,2
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,11
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,2
2011/12,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2011/12,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,1
2011/12,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,20
2011/12,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
2011/12,Hong Kong Baptist University,Taught postgraduate,FT employment,Government Officials (General Grades),1
2011/12,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,20
2011/12,Hong Kong Baptist University,Taught postgraduate,FT employment,Workers not reporting any occupation,1
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,66
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,2
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,1
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Artists,47
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Authors | Journalists and Related Writers,96
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,424
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,7
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,3
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,3
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,2
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),16
2011/12,Hong Kong Baptist University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,12
